Date,Open,High,Low,Close,Adj Close,Volume
2023-01-27,130.000000,132.500000,124.099998,125.900002,125.900002,17440517
2023-01-30,126.000000,135.649994,124.300003,133.850006,133.850006,19914736
2023-01-31,131.100006,137.350006,131.100006,136.699997,136.699997,10676240
2023-02-01,137.000000,141.750000,133.100006,137.149994,137.149994,13707141
2023-02-02,135.100006,140.449997,134.550003,139.899994,139.899994,6909997
2023-02-03,140.199997,143.800003,138.000000,141.750000,141.750000,12560503
2023-02-06,141.000000,141.050003,134.199997,137.949997,137.949997,5863281
2023-02-07,138.250000,141.500000,138.000000,139.100006,139.100006,7474850
2023-02-08,140.100006,148.100006,140.000000,146.300003,146.300003,13660477
2023-02-09,147.149994,155.250000,146.899994,151.850006,151.850006,19566410
2023-02-10,152.699997,156.899994,149.100006,154.699997,154.699997,14136240
2023-02-13,155.000000,156.399994,149.300003,150.199997,150.199997,7541842
2023-02-14,142.100006,147.000000,140.850006,143.100006,143.100006,21035079
2023-02-15,143.199997,145.699997,140.300003,142.949997,142.949997,5489810
2023-02-16,144.199997,145.750000,138.000000,139.000000,139.000000,10411561
2023-02-17,139.199997,141.250000,138.350006,139.399994,139.399994,4269005
2023-02-20,141.000000,149.600006,140.050003,143.649994,143.649994,32494890
2023-02-21,145.000000,148.850006,142.649994,147.199997,147.199997,12035592
2023-02-22,146.800003,146.899994,142.600006,144.300003,144.300003,6898378
2023-02-23,145.050003,147.850006,143.949997,145.399994,145.399994,10548721
2023-02-24,144.899994,146.000000,140.800003,142.149994,142.149994,7468073
2023-02-27,142.000000,142.949997,138.149994,140.100006,140.100006,8450584
2023-02-28,140.800003,142.500000,138.699997,139.949997,139.949997,5114855
2023-03-01,140.649994,147.399994,140.600006,142.750000,142.750000,14209058
2023-03-02,143.500000,149.000000,142.850006,147.500000,147.500000,8150578
2023-03-03,148.000000,151.000000,146.199997,149.750000,149.750000,9314106
2023-03-06,147.399994,151.000000,145.600006,149.600006,149.600006,8534871
2023-03-08,148.050003,148.350006,143.250000,144.800003,144.800003,6826223
2023-03-09,145.399994,146.500000,139.250000,140.500000,140.500000,6189859
2023-03-10,140.050003,144.449997,138.550003,142.199997,142.199997,11311353
2023-03-13,142.649994,142.649994,138.649994,140.149994,140.149994,4522532
2023-03-14,140.750000,142.000000,138.300003,139.800003,139.800003,6180567
2023-03-15,141.800003,142.149994,131.699997,137.699997,137.699997,3639179
2023-03-16,137.600006,139.800003,133.600006,138.100006,138.100006,7797383
2023-03-17,140.000000,144.750000,136.800003,140.750000,140.750000,54697290
2023-03-20,138.750000,140.649994,138.149994,139.649994,139.649994,4191166
2023-03-21,140.300003,141.649994,138.600006,139.600006,139.600006,2638231
2023-03-22,140.000000,142.350006,138.250000,139.100006,139.100006,2901000
2023-03-23,139.149994,139.800003,137.550003,138.100006,138.100006,2324488
2023-03-24,138.399994,140.350006,134.600006,137.649994,137.649994,5966778
2023-03-27,134.750000,136.399994,132.699997,133.750000,133.750000,13715969
2023-03-28,134.500000,134.899994,126.199997,127.750000,127.750000,8820214
2023-03-29,127.750000,129.500000,125.000000,126.699997,126.699997,23466327
2023-03-31,127.349998,127.500000,123.000000,124.250000,124.250000,13831712
2023-04-03,124.550003,128.399994,121.599998,126.800003,126.800003,15087483
2023-04-05,127.949997,138.800003,127.099998,136.649994,136.649994,31143755
2023-04-06,136.350006,136.600006,130.500000,131.250000,131.250000,16642583
2023-04-10,132.399994,134.350006,128.000000,129.050003,129.050003,9054016
2023-04-11,130.000000,131.149994,127.599998,128.699997,128.699997,11640923
2023-04-12,128.949997,129.350006,126.599998,127.150002,127.150002,8614778
2023-04-13,127.800003,127.800003,126.000000,126.150002,126.150002,3011309
2023-04-17,126.500000,126.650002,124.150002,125.099998,125.099998,4213715
2023-04-18,126.000000,126.550003,125.099998,125.550003,125.550003,6321961
2023-04-19,125.949997,126.050003,124.000000,124.250000,124.250000,4996026
2023-04-20,124.750000,124.750000,123.500000,123.750000,123.750000,3713650
2023-04-21,124.000000,124.250000,120.150002,120.599998,120.599998,17843321
2023-04-24,122.900002,123.000000,118.150002,119.099998,119.099998,13934891
2023-04-25,120.000000,120.000000,115.449997,116.949997,116.949997,15038942
2023-04-26,117.000000,119.650002,114.250000,116.949997,116.949997,12275006
2023-04-27,116.949997,119.449997,115.050003,115.949997,115.949997,21197271
2023-04-28,116.500000,124.199997,114.800003,122.599998,122.599998,41725462
2023-05-02,123.300003,128.649994,122.150002,124.750000,124.750000,23035078
2023-05-03,124.699997,126.750000,123.599998,124.050003,124.050003,8472237
2023-05-04,124.000000,129.800003,123.250000,128.600006,128.600006,15983154
2023-05-05,129.000000,131.699997,127.949997,129.850006,129.850006,14423761
2023-05-08,130.000000,132.350006,128.500000,129.000000,129.000000,10040556
2023-05-09,129.500000,130.500000,127.599998,129.300003,129.300003,6318630
2023-05-10,129.850006,130.199997,127.849998,128.350006,128.350006,2270329
2023-05-11,128.449997,129.050003,123.599998,125.250000,125.250000,3708383
2023-05-12,124.500000,126.500000,122.449997,124.199997,124.199997,5384735
2023-05-15,123.800003,126.449997,123.800003,125.449997,125.449997,2687241
2023-05-16,126.099998,129.350006,124.800003,127.199997,127.199997,4961545
2023-05-17,127.449997,128.449997,124.750000,126.900002,126.900002,4323654
2023-05-18,127.250000,128.600006,125.050003,125.750000,125.750000,2634053
2023-05-19,126.000000,128.850006,123.800003,128.300003,128.300003,4845666
2023-05-22,128.050003,128.050003,125.599998,126.849998,126.849998,3395750
2023-05-23,126.800003,129.250000,125.849998,128.399994,128.399994,3804209
2023-05-24,128.500000,128.500000,124.400002,125.000000,125.000000,5442654
2023-05-25,124.650002,128.199997,122.150002,127.050003,127.050003,27239097
2023-05-26,127.699997,127.750000,125.000000,126.300003,126.300003,10368573
2023-05-29,126.550003,127.400002,125.400002,126.199997,126.199997,5231023
2023-05-30,126.199997,126.199997,124.300003,125.349998,125.349998,3310957
2023-05-31,125.199997,126.300003,124.550003,125.050003,125.050003,5233746
2023-06-01,125.050003,126.900002,124.650002,126.150002,126.150002,4949201
2023-06-02,126.400002,136.800003,125.699997,135.750000,135.750000,42069132
2023-06-05,136.850006,138.899994,132.500000,137.600006,137.600006,19609128
2023-06-06,136.800003,139.149994,133.100006,134.000000,134.000000,9137352
2023-06-07,135.000000,137.850006,132.500000,134.500000,134.500000,9130590
2023-06-08,135.449997,139.300003,133.649994,135.600006,135.600006,15019328
2023-06-09,136.949997,139.649994,135.600006,138.750000,138.750000,7872403
2023-06-12,139.250000,143.899994,138.149994,140.000000,140.000000,16562405
2023-06-13,140.350006,142.800003,137.399994,142.050003,142.050003,12280353
2023-06-14,142.649994,143.899994,140.500000,141.100006,141.100006,4854138
2023-06-15,141.449997,142.300003,137.050003,137.899994,137.899994,7779452
2023-06-16,138.899994,145.500000,138.500000,144.350006,144.350006,19129741
2023-06-19,145.300003,151.399994,144.649994,150.449997,150.449997,27610290
2023-06-20,150.800003,151.500000,146.000000,147.050003,147.050003,7724335
